experiment_id,run_id,source_project,motion,method,config_label,seed,status,metrics_source,rollout_source,command_source,video_source,log_source,artifact_ref,notes
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__6dbdcd62,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,0,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__6dbdcd62,best_s128 speed-quality sample-budget probe
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed1__metrics__7d1d68f9,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,1,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed1/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed1__metrics__7d1d68f9,best_s128 speed-quality sample-budget probe
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed2__metrics__54529edb,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,2,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed2/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed2__metrics__54529edb,best_s128 speed-quality sample-budget probe
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__c2095a07,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,0,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__c2095a07,best_s128 speed-quality sample-budget probe
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed1__metrics__7036a803,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,1,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed1/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed1__metrics__7036a803,best_s128 speed-quality sample-budget probe
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed2__metrics__0e03218e,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,2,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed2/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s192_i2_h40_c20_k8_sig0p04_0p1_0p18_seed2__metrics__0e03218e,best_s128 speed-quality sample-budget probe
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__c866f991,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,0,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__c866f991,best_s128 speed-quality sample-budget probe
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed1__metrics__5e4d3280,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,1,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed1/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed1__metrics__5e4d3280,best_s128 speed-quality sample-budget probe
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed2__metrics__7692abe2,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,2,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed2/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed2__metrics__7692abe2,best_s128 speed-quality sample-budget probe
2026-06-23-fast-quality-pareto-wjs,fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s64_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__7dd46e8a,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,0,complete,/tmp/g1_wbc_fast_quality_pareto_20260623/candidates/jg_s128_v14_control/jump/jump_s64_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#fast_quality_pareto_20260623__candidates__jg_s128_v14_control__jump__jump_s64_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__7dd46e8a,best_s128 speed-quality sample-budget probe
